"Comunidad";"Provincia";"Poblacion";"Latitud";"Longitud";"Habitantes";"Hombres";"Mujeres"
"Andalucía";"Cádiz";"Puerto de Santa María (El)";"36.59695";"-6.227526";87696;43320;44376
"Catalunya";"Barcelona";"Cornellà de Llobregat";"41.35561";"2.070432";86519;42953;43566
"Madrid";"Madrid";"Rozas de Madrid (Las)";"40.31007";"-4.490765";86340;41917;44423
"Valencia";"Alicante/Alacant";"Orihuela";"38.08395";"-0.9447829";86164;43368;42796
"Asturias";"Asturias";"Avilés";"43.55577";"-5.927617";84242;40419;43823
"Andalucía";"Almería";"Ejido (El)";"36.77506";"-2.812738";84227;47263;36964
"Castilla La Mancha";"Guadalajara";"Guadalajara";"40.62981";"-3.166493";83039;40999;42040
"Andalucía";"Almería";"Roquetas de Mar";"36.76427";"-2.614935";82665;43095;39570
"Castilla León";"Palencia";"Palencia";"42.01246";"-4.531175";82651;39218;43433
"Catalunya";"Barcelona";"Sant Boi de Llobregat";"41.34739";"2.043103";82428;40937;41491
"Madrid";"Madrid";"Pozuelo de Alarcón";"40.4352";"-3.813062";82428;39587;42841
"Castilla La Mancha";"Toledo";"Toledo";"39.85678";"-4.024476";82291;39497;42794
"Galicia";"Pontevedra";"Pontevedra";"42.43362";"-8.648053";81576;38662;42914
"País Vasco";"Vizcaya";"Getxo";"43.36229";"-3.012567";80770;38094;42676
"Valencia";"Valencia/València";"Gandia";"38.96902";"-0.1851868";80020;40385;39635
"Catalunya";"Barcelona";"Sant Cugat del Vallès";"41.47186";"2.082139";79253;38789;40464
"Ceuta y Melilla";"Ceuta";"Ceuta";"35.88829";"-5.316195";78674;40118;38556
"Canarias";"Santa Cruz de Tenerife";"Arona";"28.10047";"-16.68066";78614;40879;37735
"Valencia";"Valencia/València";"Torrent";"39.43688";"-0.4653109";78543;39429;39114
"Andalucía";"Cádiz";"Chiclana de la Frontera";"36.41915";"-6.149412";77293;39050;38243
"Catalunya";"Barcelona";"Manresa";"41.72517";"1.823353";76558;37784;38774
"Madrid";"Madrid";"San Sebastián de los Reyes";"40.54751";"-3.626394";75912;37284;38628
"Galicia";"A Coruña";"Ferrol";"43.48839";"-8.222509";74273;34876;39397
"Andalucía";"Málaga";"Vélez-Málaga";"36.77864";"-4.100675";74190;37038;37152
"Castilla La Mancha";"Ciudad Real";"Ciudad Real";"38.9861";"-3.927263";74014;35073;38941
"Andalucía";"Málaga";"Mijas";"36.5957";"-4.637619";73787;37063;36724
"Ceuta y Melilla";"Melilla";"Melilla";"35.29234";"-2.938794";73460;37244;36216
"Catalunya";"Barcelona";"Rubí";"41.49233";"2.031262";72987;36694;36293
"Andalucía";"Málaga";"Fuengirola";"36.53901";"-4.624353";71482;35339;36143
"Valencia";"Alicante/Alacant";"Benidorm";"38.53704";"-0.1290771";71034;35796;35238
"Andalucía";"Sevilla";"Alcalá de Guadaíra";"37.33833";"-5.844032";70155;34956;35199
"Castilla León";"León";"Ponferrada";"42.54633";"-6.590833";68736;33329;35407
"Madrid";"Madrid";"Rivas-Vaciamadrid";"40.3297";"-3.516941";68405;34291;34114
"Madrid";"Madrid";"Majadahonda";"40.47283";"-3.872304";68110;32520;35590
"Castilla León";"Zamora";"Zamora";"41.50368";"-5.743778";66293;31380;34913
"Valencia";"Valencia/València";"Sagunto/Sagunt";"39.68077";"-0.2779768";66070;32834;33236
"Catalunya";"Barcelona";"Vilanova i la Geltrú";"41.22415";"1.725568";65890;32431;33459
"Andalucía";"Cádiz";"Sanlúcar de Barrameda";"36.77882";"-6.354198";65805;32843;32962
"Andalucía";"Málaga";"Estepona";"36.42477";"-5.144903";65592;32976;32616
"Andalucía";"Málaga";"Torremolinos";"36.62179";"-4.500273";65448;32845;32603
"Andalucía";"Cádiz";"Línea de la Concepción (La)";"36.16118";"-5.348256";64595;31947;32648
"Murcia";"Murcia";"Molina de Segura";"38.05092";"-1.210992";64065;32194;31871
"Valencia";"Valencia/València";"Paterna";"39.50206";"-0.4405986";64023;32136;31887
"Canarias";"Las Palmas";"Santa Lucía de Tirajana";"27.91272";"-15.54124";63637;32142;31495
"Catalunya";"Barcelona";"Viladecans";"41.31601";"2.020199";63489;31891;31598
