"Comunidad";"Provincia";"Poblacion";"Latitud";"Longitud";"Habitantes";"Hombres";"Mujeres"
"Catalunya";"Tarragona";"Calafell";"41.20056";"1.568441";24265;12368;11897
"País Vasco";"Vizcaya";"Erandio";"43.30746";"-2.946418";24262;11911;12351
"Valencia";"Valencia/València";"Cullera";"39.16514";"-0.2559119";24121;12244;11877
"Valencia";"Alicante/Alacant";"Ibi";"38.62551";"-0.5713521";24113;12134;11979
"Catalunya";"Barcelona";"Molins de Rei";"41.41392";"2.015836";24067;11753;12314
"Canarias";"Santa Cruz de Tenerife";"Icod de los Vinos";"28.36761";"-16.71886";24024;11917;12107
"Andalucía";"Córdoba";"Montilla";"37.58963";"-4.638313";23840;11822;12018
"Valencia";"Alicante/Alacant";"Altea";"38.60032";"-0.0491708";23780;11884;11896
"Murcia";"Murcia";"San Pedro del Pinatar";"37.83504";"-0.7915859";23738;12053;11685
"Canarias";"Santa Cruz de Tenerife";"Tacoronte";"28.48153";-16412;23562;11763;11799
"Valencia";"Valencia/València";"Paiporta";"39.42845";"-0.4188691";23519;11855;11664
"Andalucía";"Córdoba";"Priego de Córdoba";"37.4389";"-4.194839";23513;11576;11937
"Andalucía";"Granada";"Baza";"37.49065";"-2.774473";23359;11672;11687
"Andalucía";"Málaga";"Alhaurín el Grande";"36.64186";"-4.691447";23319;11730;11589
"Catalunya";"Barcelona";"Olesa de Montserrat";"41.5434";"1.888153";23301;11778;11523
"Galicia";"A Coruña";"Cambre";"43.29416";"-8.34498";23231;11426;11805
"Galicia";"Pontevedra";"Ponteareas";"42.17637";"-8.502382";23172;11325;11847
"Catalunya";"Barcelona";"Castellar del Vallès";"41.61618";"2.085649";23002;11448;11554
"Andalucía";"Cádiz";"Barbate";"36.19282";"-5.918903";22912;11447;11465
"Asturias";"Asturias";"Castrillón";"43.55";-5967;22894;11195;11699
"Andalucía";"Almería";"Vícar";"36.83145";"-2.642515";22853;12114;10739
"Andalucía";"Jaén";"Alcalá la Real";"37.46358";"-3.925078";22783;11343;11440
"Andalucía";"Sevilla";"Tomares";"37.37404";"-6.045198";22772;11252;11520
"Valencia";"Valencia/València";"Llíria";"39.62458";"-0.5947581";22706;11566;11140
"País Vasco";"Guipúzcoa";"Zarautz";"43.28036";"-2.171588";22627;11122;11505
"Valencia";"Alicante/Alacant";"Mutxamel";"38.41235";"-0.4432408";22510;11290;11220
"Madrid";"Madrid";"Mejorada del Campo";"40.39701";"-3.487864";22488;11303;11185
"Valencia";"Valencia/València";"Alboraya";"39.49935";"-0.3497834";22405;11176;11229
"Catalunya";"Girona";"Palafrugell";"41.91719";"3.163817";22365;11301;11064
"Andalucía";"Cádiz";"Barrios (Los)";"36.18539";"-5.492747";22311;11258;11053
"Catalunya";"Barcelona";"Masnou (El)";"41.47931";"2.319244";22288;10709;11579
"Islas Baleares";"Illes Balears";"Sant Josep de sa Talaia";"38.92173";"1.293443";22171;11595;10576
"Madrid";"Madrid";"Ciempozuelos";"40.15934";"-3.6184";22132;11240;10892
"Navarra";"Navarra";"Barañain";"42.80492";"-1.685519";22110;10930;11180
"País Vasco";"Guipúzcoa";"Arrasate/Mondragón";"43.06451";"-2.487716";22064;10952;11112
"Valencia";"Alicante/Alacant";"Pilar de la Horadada";"37.86538";"-0.7925081";22050;11450;10600
"Canarias";"Las Palmas";"Oliva (La)";"28.6104";"-13.9288";21996;11854;10142
"Catalunya";"Girona";"Sant Feliu de Guíxols";"41.78058";"3.030733";21977;10997;10980
"Valencia";"Alicante/Alacant";"Sant Joan d'Alacant";"38.39817";"-0.4345329";21939;10703;11236
"Aragón";"Zaragoza";"Calatayud";"41.35432";"-1.647009";21933;10909;11024
"Valencia";"Valencia/València";"Moncada";"39.54554";"-0.3934617";21900;10900;11000
